Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 D02.01 M43 KWh-Dif;MISFAT 3 Eclairage 3-2 KWh-Dif;MISFAT 3 G10 KWh-Diff;MISFAT 3 G33  kWh-Diff;MISFAT 3 G39 KWh-Diff;MISFAT 3 H39 KWh-Diff;MISFAT 3 H46 KWh-Diff;MISFAT 3 H53 KWh-Dif;MISFAT 3 N11 KWh-Dif; 
2025-01-25 15:00:00 CEST;"40;84375";"32;875";"28;0625";"0;109375";0,0kWh;"7;8740234375";"55;7265625";"1;46875";0,0kWh;"11;625";"8;86328125";0,0kWh;
2025-01-25 16:00:00 CEST;"71;28125";32,0kWh;"7;375";"0;109375";0,0kWh;"7;90234375";"54;609375";"1;625";0,0kWh;"12;505859375";"8;154296875";0,0kWh;
2025-01-25 17:00:00 CEST;"59;46875";32,0kWh;0,0kWh;"0;1015625";0,0kWh;"7;90380859375";"55;8828125";"1;6875";0,0kWh;"13;025390625";"8;40625";0,0kWh;
2025-01-25 18:00:00 CEST;"75;78125";"28;375";0,0kWh;"0;1015625";0,0kWh;"8;0302734375";"56;1171875";"0;0625";0,0kWh;"12;6171875";"8;34375";0,0kWh;
2025-01-25 19:00:00 CEST;"74;28125";"28;375";0,0kWh;"0;1015625";0,0kWh;"7;943359375";"56;0625";0,0kWh;0,0kWh;"12;611328125";"7;814453125";0,0kWh;
2025-01-25 20:00:00 CEST;"64;03125";"27;625";"0;25";"0;1015625";0,0kWh;"6;650390625";"49;390625";0,0kWh;0,0kWh;"11;59765625";"8;44140625";0,0kWh;
2025-01-25 21:00:00 CEST;"5;0625";"8;375";0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;92578125";"8;56640625";0,0kWh;
2025-01-25 22:00:00 CEST;"4;71875";"8;5";0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;439453125";"8;078125";0,0kWh;
2025-01-25 23:00:00 CEST;"0;015625";"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;025390625";"0;12109375";0,0kWh;
2025-01-26 00:00:00 CEST;"4;796875";"9;5";0,0kWh;"0;1328125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;548828125";"8;3046875";0,0kWh;
2025-01-26 01:00:00 CEST;"5;046875";"9;25";0,0kWh;"0;1328125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;458984375";"7;056640625";0,0kWh;
2025-01-26 02:00:00 CEST;"5;046875";"8;5";0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;556640625";"6;63671875";0,0kWh;
2025-01-26 03:00:00 CEST;"4;828125";"8;5";0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;453125";"6;478515625";0,0kWh;
2025-01-26 04:00:00 CEST;"4;84375";"9;25";0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;5546875";"6;943359375";0,0kWh;
2025-01-26 05:00:00 CEST;"4;859375";"8;875";0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;55078125";"6;5390625";0,0kWh;
2025-01-26 06:00:00 CEST;"4;953125";"9;125";0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;46484375";"6;34375";0,0kWh;
2025-01-26 07:00:00 CEST;"5;265625";"9;125";0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;568359375";"6;78515625";0,0kWh;
2025-01-26 08:00:00 CEST;"4;84375";"9;125";0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;572265625";"9;69921875";0,0kWh;
2025-01-26 09:00:00 CEST;"4;828125";"8;625";0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;578125";"6;392578125";0,0kWh;
2025-01-26 10:00:00 CEST;"4;765625";"8;5";0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;46875";"6;48828125";0,0kWh;
2025-01-26 11:00:00 CEST;"4;921875";"8;25";0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;57421875";"6;568359375";0,0kWh;
2025-01-26 12:00:00 CEST;"3;84375";"7;125";0,0kWh;"0;09375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;173828125";"5;154296875";0,0kWh;
2025-01-26 13:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;
2025-01-26 14:00:00 CEST;"3;703125";"6;5";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;259765625";"5;076171875";0,0kWh;
2025-01-26 15:00:00 CEST;"4;640625";"8;125";0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;486328125";"6;98828125";0,0kWh;
2025-01-26 16:00:00 CEST;"4;6875";"8;125";0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;46875";"6;650390625";0,0kWh;
2025-01-26 17:00:00 CEST;"4;640625";"8;375";0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;5546875";"6;419921875";0,0kWh;
2025-01-26 18:00:00 CEST;"4;671875";"8;75";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;435546875";"6;521484375";0,0kWh;
2025-01-26 19:00:00 CEST;"4;90625";"8;625";0,0kWh;"0;1015625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;529296875";"6;505859375";0,0kWh;
2025-01-26 20:00:00 CEST;"4;984375";"8;625";0,0kWh;"0;109375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;53515625";"6;552734375";0,0kWh;
2025-01-26 21:00:00 CEST;"4;8125";9,0kWh;0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;44921875";"6;59375";0,0kWh;
2025-01-26 22:00:00 CEST;"4;78125";"8;875";0,0kWh;"0;1171875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;544921875";"6;359375";0,0kWh;
2025-01-26 23:00:00 CEST;"0;96875";2,0kWh;0,0kWh;"0;0234375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"0;2734375";"1;412109375";0,0kWh;
2025-01-27 00:00:00 CEST;"5;171875";"8;625";0,0kWh;"0;1328125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;466796875";"6;611328125";0,0kWh;
2025-01-27 01:00:00 CEST;"5;15625";"8;875";0,0kWh;"0;1328125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;564453125";"6;3984375";0,0kWh;
2025-01-27 02:00:00 CEST;"4;859375";"9;625";0,0kWh;"0;1328125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;564453125";"6;72265625";0,0kWh;
2025-01-27 03:00:00 CEST;"4;90625";"9;5";0,0kWh;"0;1328125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;49609375";"6;626953125";0,0kWh;
2025-01-27 04:00:00 CEST;"5;25";"9;125";0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"1;53515625";"6;603515625";0,0kWh;
2025-01-27 05:00:00 CEST;"5;296875";"9;25";0,0kWh;"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"13;2578125";"10;251953125";0,0kWh;
2025-01-27 06:00:00 CEST;"27;203125";"39;125";0,0kWh;"0;1171875";0,0kWh;"6;2705078125";"16;484375";"5;96875";0,0kWh;"10;263671875";"8;12890625";0,0kWh;
2025-01-27 07:00:00 CEST;"94;6875";"45;5";"42;875";"1;8125";0,0kWh;"8;70361328125";"56;3828125";"41;96875";0,0kWh;"12;36328125";"10;5859375";0,0kWh;
2025-01-27 08:00:00 CEST;"92;65625";"47;125";"37;5";"0;9921875";0,0kWh;"8;23876953125";"54;3125";"42;40625";0,0kWh;"11;68359375";"10;40234375";"8;53125";
2025-01-27 09:00:00 CEST;"85;21875";"46;875";"36;5";"1;0078125";0,0kWh;"8;09033203125";"46;625";"42;65625";0,0kWh;"10;51953125";"10;439453125";"13;125";
2025-01-27 10:00:00 CEST;"93;765625";"47;125";"33;5625";"0;9453125";0,0kWh;"8;06298828125";"47;0546875";"42;59375";0,0kWh;"11;31640625";"11;953125";"10;125";
2025-01-27 11:00:00 CEST;"86;6875";"46;625";"33;0625";"0;9609375";0,0kWh;"7;861328125";"55;609375";"42;75";0,0kWh;"11;138671875";"10;865234375";"13;25";
2025-01-27 12:00:00 CEST;"73;453125";"46;25";"33;875";"0;9453125";0,0kWh;"7;8203125";"53;25";"40;84375";0,0kWh;"10;525390625";"10;642578125";"10;34375";
2025-01-27 13:00:00 CEST;"65;484375";"44;875";"31;5625";"0;953125";0,0kWh;"8;15625";"55;9296875";"42;96875";0,0kWh;"10;583984375";"11;029296875";"7;9375";
2025-01-27 14:00:00 CEST;"74;78125";"44;75";"31;9375";"28;9375";0,0kWh;"7;8876953125";"56;0546875";"42;875";0,0kWh;"10;48828125";"10;853515625";"9;75";
2025-01-27 15:00:00 CEST;"75;21875";"50;75";32,0kWh;"17;0390625";0,0kWh;"7;82666015625";"54;5625";"42;53125";0,0kWh;"10;62890625";"10;896484375";13,0kWh;
2025-01-27 16:00:00 CEST;"75;25";"49;625";32,0kWh;"21;6796875";0,0kWh;"7;67919921875";"54;9453125";"42;0625";0,0kWh;"10;142578125";"11;21875";"10;5";
2025-01-27 17:00:00 CEST;"75;765625";"44;5";"30;6875";"1;421875";0,0kWh;"7;63134765625";"55;265625";"42;1875";0,0kWh;"11;3828125";"11;2890625";"13;53125";
2025-01-27 18:00:00 CEST;"75;1875";"43;625";"23;3125";"1;421875";0,0kWh;"7;771484375";"53;8828125";"42;5";0,0kWh;"11;9140625";"10;708984375";"4;625";
2025-01-27 19:00:00 CEST;"75;34375";"45;625";0,0kWh;"1;4296875";0,0kWh;"7;712890625";"46;921875";"42;46875";0,0kWh;"11;732421875";"11;57421875";"0;1875";
2025-01-27 20:00:00 CEST;"73;078125";"43;75";"43;5";"1;4375";0,0kWh;"6;61328125";"2;453125";"31;0625";0,0kWh;"11;640625";"11;06640625";"8;40625";
2025-01-27 21:00:00 CEST;"71;953125";"39;125";"38;9375";"30;6171875";0,0kWh;"0;00048828125";0,0kWh;"0;0625";0,0kWh;"11;873046875";"8;2265625";0,0kWh;
2025-01-27 22:00:00 CEST;"71;546875";"36;25";"37;3125";"21;03125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"10;759765625";"6;306640625";0,0kWh;
2025-01-27 23:00:00 CEST;"11;34375";"9;375";"8;8125";"6;4296875";0,0kWh;"0;00048828125";0,0kWh;0,0kWh;0,0kWh;"3;095703125";"1;529296875";0,0kWh;
2025-01-28 00:00:00 CEST;"77;328125";"35;875";"31;3125";"22;375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"10;935546875";"6;125";0,0kWh;
2025-01-28 01:00:00 CEST;"72;734375";"35;375";"39;875";"18;2421875";0,0kWh;"0;00048828125";0,0kWh;0,0kWh;0,0kWh;"10;376953125";"6;13671875";0,0kWh;
2025-01-28 02:00:00 CEST;"77;125";"35;5";"38;875";"16;3515625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"9;421875";"6;013671875";0,0kWh;
2025-01-28 03:00:00 CEST;"74;046875";30,0kWh;"35;8125";"17;5546875";0,0kWh;"0;00048828125";0,0kWh;0,0kWh;0,0kWh;"10;59765625";"6;34375";0,0kWh;
2025-01-28 04:00:00 CEST;"72;9375";"30;75";"31;9375";"24;6484375";0,0kWh;"0;00048828125";0,0kWh;0,0kWh;0,0kWh;"11;208984375";"6;1015625";0,0kWh;
2025-01-28 05:00:00 CEST;"65;90625";"30;125";"33;125";"15;984375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"11;142578125";10,0kWh;0,0kWh;
2025-01-28 06:00:00 CEST;"19;515625";"47;5";0,0kWh;"0;1171875";0,0kWh;"8;15185546875";"2;3828125";"10;21875";0,0kWh;"7;091796875";"9;3125";0,0kWh;
2025-01-28 07:00:00 CEST;"78;984375";"92;125";"42;8125";"16;8203125";0,0kWh;"7;98828125";"25;09375";9,0kWh;0,0kWh;"11;09765625";"11;861328125";"8;28125";
2025-01-28 08:00:00 CEST;"48;046875";"87;25";"35;75";"23;40625";0,0kWh;"7;88671875";"58;375";"1;71875";0,0kWh;"10;953125";"10;5";"0;46875";
2025-01-28 09:00:00 CEST;"54;1875";"84;875";"33;6875";"9;6015625";0,0kWh;"7;8916015625";"58;0703125";"1;78125";0,0kWh;"10;93359375";"11;06640625";"13;5";
2025-01-28 10:00:00 CEST;"74;578125";"79;125";"30;625";"2;3515625";0,0kWh;"7;87353515625";"50;2421875";"1;71875";0,0kWh;"11;1015625";"10;728515625";"10;28125";
2025-01-28 11:00:00 CEST;"62;046875";"88;625";"32;0625";"2;3671875";0,0kWh;"7;767578125";"58;203125";"1;6875";0,0kWh;"8;904296875";"10;43359375";"13;40625";
2025-01-28 12:00:00 CEST;"75;90625";"54;875";"31;25";"2;34375";0,0kWh;"7;7880859375";"58;2421875";"2;09375";0,0kWh;"10;884765625";"10;318359375";"10;40625";
2025-01-28 13:00:00 CEST;"75;71875";"37;625";"35;9375";"2;34375";0,0kWh;"7;76220703125";"58;5703125";"14;34375";0,0kWh;"11;033203125";"10;908203125";"12;34375";
2025-01-28 14:00:00 CEST;"75;484375";60,0kWh;"36;6875";"2;3203125";0,0kWh;"7;74609375";"58;484375";"4;96875";0,0kWh;"10;9375";"10;51171875";"13;1875";
2025-01-28 15:00:00 CEST;"58;078125";"90;5";"31;375";"1;8984375";0,0kWh;"7;74462890625";"56;40625";"1;65625";0,0kWh;"11;064453125";"10;353515625";"4;53125";
2025-01-28 16:00:00 CEST;"26;296875";89,0kWh;"31;6875";"1;4453125";0,0kWh;"7;86962890625";"57;5";"1;625";0,0kWh;"10;7734375";"10;291015625";"7;65625";
2025-01-28 17:00:00 CEST;"27;671875";"91;25";"22;875";"1;4765625";0,0kWh;"7;84521484375";"59;2578125";"1;65625";0,0kWh;"11;685546875";"11;3671875";"14;03125";
2025-01-28 18:00:00 CEST;"40;125";"86;875";"39;1875";"1;4453125";0,0kWh;"7;85107421875";"57;296875";"1;78125";0,0kWh;"11;828125";"10;0859375";"13;8125";
2025-01-28 19:00:00 CEST;"76;796875";"86;5";"38;5";"1;453125";0,0kWh;"7;91455078125";"59;9453125";"1;71875";0,0kWh;"11;04296875";"10;126953125";"11;1875";
2025-01-28 20:00:00 CEST;"68;890625";"91;5";"32;6875";"1;453125";0,0kWh;"7;07177734375";"23;921875";"19;59375";0,0kWh;"10;4765625";"9;875";"12;09375";
2025-01-28 21:00:00 CEST;"5;015625";"94;25";"32;3125";"22;5859375";0,0kWh;0,0kWh;0,0kWh;"41;5";0,0kWh;"11;193359375";"7;478515625";0,0kWh;
2025-01-28 22:00:00 CEST;"5;0625";82,0kWh;"35;5";"14;234375";0,0kWh;0,0kWh;0,0kWh;"40;78125";0,0kWh;"11;47265625";"6;33984375";0,0kWh;
2025-01-28 23:00:00 CEST;"1;1875";"12;875";"4;5";"5;3671875";0,0kWh;0,0kWh;0,0kWh;"11;5";0,0kWh;"3;33203125";"1;6875";0,0kWh;
2025-01-29 00:00:00 CEST;"4;859375";"76;375";"42;3125";"23;53125";0,0kWh;0,0kWh;0,0kWh;"39;875";0,0kWh;"11;1328125";"5;61328125";0,0kWh;
2025-01-29 01:00:00 CEST;"5;046875";"76;25";"28;3125";"17;9453125";0,0kWh;0,0kWh;0,0kWh;"39;625";0,0kWh;"11;341796875";"6;16796875";0,0kWh;
2025-01-29 02:00:00 CEST;"5;046875";"75;125";"38;75";"13;7265625";0,0kWh;0,0kWh;0,0kWh;"39;8125";0,0kWh;"11;142578125";"6;00390625";0,0kWh;
2025-01-29 03:00:00 CEST;"5;1875";"61;125";"31;875";"26;7578125";0,0kWh;0,0kWh;0,0kWh;"39;5625";0,0kWh;"12;169921875";"5;96484375";0,0kWh;
2025-01-29 04:00:00 CEST;"5;15625";"68;75";"35;4375";"10;8046875";0,0kWh;0,0kWh;0,0kWh;"39;71875";0,0kWh;"11;71484375";"6;0625";0,0kWh;
2025-01-29 05:00:00 CEST;"5;171875";"68;25";"25;8125";"2;390625";0,0kWh;0,0kWh;0,0kWh;"39;34375";0,0kWh;"11;2578125";"9;59765625";0,0kWh;
2025-01-29 06:00:00 CEST;"40;484375";"39;75";0,0kWh;"1;5078125";0,0kWh;0,0kWh;"0;390625";"1;78125";0,0kWh;"7;177734375";"7;4453125";0,0kWh;
2025-01-29 07:00:00 CEST;"94;546875";"94;375";"37;0625";"18;5390625";0,0kWh;0,0kWh;"26;9453125";"41;25";0,0kWh;"10;3671875";"10;4140625";"12;75";
2025-01-29 08:00:00 CEST;"91;65625";"86;25";"34;25";"18;4296875";0,0kWh;0,0kWh;"56;71875";"41;71875";0,0kWh;"11;244140625";"10;2734375";"13;3125";
2025-01-29 09:00:00 CEST;"81;5625";45,0kWh;"38;375";"23;109375";0,0kWh;0,0kWh;"56;8125";"41;65625";0,0kWh;"10;818359375";"9;90625";"13;21875";
2025-01-29 10:00:00 CEST;"64;4375";45,0kWh;"36;4375";"3;6953125";0,0kWh;0,0kWh;"54;7578125";"35;5";0,0kWh;"10;279296875";"9;583984375";"10;28125";
2025-01-29 11:00:00 CEST;"25;65625";"46;25";"34;9375";"19;515625";0,0kWh;0,0kWh;"57;5546875";"24;28125";0,0kWh;"11;673828125";"12;63671875";"13;46875";
2025-01-29 12:00:00 CEST;"39;4375";"55;875";"38;5";"9;6640625";0,0kWh;0,0kWh;"33;328125";"41;5625";0,0kWh;"11;35546875";"10;115234375";"7;53125";
2025-01-29 13:00:00 CEST;"76;84375";"64;75";"30;1875";"26;5390625";0,0kWh;0,0kWh;"50;5234375";"41;1875";0,0kWh;"11;3046875";"11;646484375";"0;1875";
2025-01-29 14:00:00 CEST;"76;53125";44,0kWh;"27;8125";"17;828125";0,0kWh;"0;00048828125";"38;0859375";"41;8125";0,0kWh;"11;00390625";"11;23828125";"9;65625";
2025-01-29 15:00:00 CEST;"75;796875";"43;125";"27;8125";"17;625";0,0kWh;"0;00048828125";"54;890625";"41;09375";0,0kWh;"10;716796875";"12;90234375";"13;84375";
2025-01-29 16:00:00 CEST;"58;140625";41,0kWh;"35;5625";"11;734375";0,0kWh;"4;28173828125";"51;5234375";"38;15625";0,0kWh;"10;2265625";"11;287109375";"10;71875";
2025-01-29 17:00:00 CEST;"76;71875";"45;125";"40;5";"1;4140625";0,0kWh;"7;98046875";"54;1171875";"38;78125";0,0kWh;"9;638671875";"10;716796875";"13;5";
2025-01-29 18:00:00 CEST;"76;625";"43;5";"31;375";"1;40625";0,0kWh;"7;87060546875";"54;2734375";"42;15625";0,0kWh;"9;44921875";"11;259765625";"12;9375";
2025-01-29 19:00:00 CEST;"75;65625";"43;625";"38;6875";"1;40625";0,0kWh;"4;3359375";"54;1484375";"42;0625";0,0kWh;"10;244140625";"10;646484375";"10;75";
2025-01-29 20:00:00 CEST;"67;78125";"44;5";"32;0625";"1;3984375";0,0kWh;0,0kWh;"19;59375";"22;46875";0,0kWh;"11;90625";"11;02734375";"5;6875";
2025-01-29 21:00:00 CEST;"5;390625";45,0kWh;"40;6875";"1;421875";0,0kWh;0,0kWh;0,0kWh;"1;6875";0,0kWh;"11;591796875";"9;37109375";0,0kWh;
2025-01-29 22:00:00 CEST;"5;328125";"91;5";"29;0625";"1;4609375";0,0kWh;0,0kWh;0,0kWh;"1;75";0,0kWh;"12;01171875";"6;94921875";0,0kWh;
2025-01-29 23:00:00 CEST;"1;78125";"29;25";"8;9375";"0;4765625";0,0kWh;0,0kWh;0,0kWh;"0;59375";0,0kWh;"3;86328125";"2;05078125";0,0kWh;
2025-01-30 00:00:00 CEST;"5;90625";"90;25";"46;6875";"1;46875";0,0kWh;0,0kWh;0,0kWh;"14;625";0,0kWh;"11;58984375";"6;63671875";0,0kWh;
2025-01-30 01:00:00 CEST;"5;0625";"79;5";"34;125";"1;4765625";0,0kWh;0,0kWh;0,0kWh;"38;34375";0,0kWh;"12;3046875";"6;6015625";0,0kWh;
2025-01-30 02:00:00 CEST;"5;6875";"84;5";"44;1875";"1;5";0,0kWh;0,0kWh;0,0kWh;"39;5625";0,0kWh;"11;5078125";"6;47265625";0,0kWh;
2025-01-30 03:00:00 CEST;"5;859375";73,0kWh;"42;9375";"1;4921875";0,0kWh;0,0kWh;0,0kWh;"34;625";0,0kWh;"12;171875";"6;443359375";0,0kWh;
2025-01-30 04:00:00 CEST;"5;109375";"73;375";"39;3125";"1;4765625";0,0kWh;0,0kWh;0,0kWh;"37;78125";0,0kWh;"12;28515625";"6;6953125";0,0kWh;
2025-01-30 05:00:00 CEST;"5;796875";"66;875";30,0kWh;"1;4765625";0,0kWh;"0;0009765625";0,0kWh;"33;75";0,0kWh;"12;943359375";"11;060546875";0,0kWh;
2025-01-30 06:00:00 CEST;"42;015625";"56;625";0,0kWh;"1;453125";0,0kWh;0,0kWh;"0;4453125";"10;375";0,0kWh;"7;712890625";"10;11328125";0,0kWh;
2025-01-30 07:00:00 CEST;"87;59375";"93;75";"46;6875";"2;953125";0,0kWh;"9;9072265625";"29;109375";"38;8125";0,0kWh;"11;6171875";"12;7109375";"0;15625";
2025-01-30 08:00:00 CEST;"76;859375";"95;125";"36;375";"2;5390625";0,0kWh;"8;0576171875";"58;578125";"38;9375";0,0kWh;"12;240234375";"11;87109375";"0;1875";
2025-01-30 09:00:00 CEST;"77;390625";"95;875";"33;25";"2;4765625";0,0kWh;"7;986328125";"57;921875";"38;90625";0,0kWh;"11;564453125";"11;88671875";"5;125";
2025-01-30 10:00:00 CEST;"72;515625";86,0kWh;"35;4375";"24;5703125";0,0kWh;"7;869140625";"57;4609375";"38;96875";0,0kWh;"10;4609375";"11;59765625";"10;46875";
2025-01-30 11:00:00 CEST;"71;96875";"91;125";"32;9375";"19;390625";0,0kWh;"7;7841796875";"57;1328125";"37;21875";0,0kWh;"11;16796875";"11;814453125";"6;8125";
2025-01-30 12:00:00 CEST;"75;390625";"82;5";"35;8125";"11;6484375";0,0kWh;"7;7958984375";"57;3046875";"39;75";0,0kWh;"11;2734375";"10;9765625";"2;375";
2025-01-30 13:00:00 CEST;"76;28125";"85;75";"29;9375";"6;5234375";0,0kWh;"7;6953125";"57;8671875";"40;15625";0,0kWh;"11;46875";"10;97265625";"12;90625";
2025-01-30 14:00:00 CEST;"70;59375";"39;25";"33;6875";"24;9453125";0,0kWh;"7;1298828125";"57;8671875";"39;5";0,0kWh;"10;615234375";"10;5";"6;59375";
2025-01-30 15:00:00 CEST;"41;0625";"91;75";"36;375";"6;046875";0,0kWh;"6;10546875";"58;2109375";"39;4375";0,0kWh;"9;6015625";"11;478515625";"0;03125";
2025-01-30 16:00:00 CEST;"35;140625";"85;875";"34;375";"1;609375";0,0kWh;"6;13671875";"21;953125";"38;84375";0,0kWh;"10;44140625";"9;88671875";0,0kWh;
2025-01-30 17:00:00 CEST;"77;9375";"91;625";"33;5625";"1;390625";0,0kWh;"6;9150390625";"46;9609375";"38;875";0,0kWh;"11;48046875";"9;138671875";0,0kWh;
2025-01-30 18:00:00 CEST;"72;25";"63;75";"30;8125";"1;3984375";0,0kWh;"7;740234375";"3;984375";"38;96875";0,0kWh;"11;89453125";"9;0859375";0,0kWh;
2025-01-30 19:00:00 CEST;"76;0625";"64;25";"30;3125";"1;421875";0,0kWh;"7;8115234375";"4;765625";"39;15625";0,0kWh;"11;740234375";"9;271484375";0,0kWh;
2025-01-30 20:00:00 CEST;"70;6875";"94;5";"31;4375";"1;4140625";0,0kWh;"6;1826171875";"4;890625";"16;34375";0,0kWh;"11;064453125";"9;46875";0,0kWh;
2025-01-30 21:00:00 CEST;"4;15625";"92;25";"36;625";"1;4453125";0,0kWh;0,0kWh;0,0kWh;"1;65625";0,0kWh;"11;837890625";"7;27734375";0,0kWh;
2025-01-30 22:00:00 CEST;"4;640625";"92;375";43,0kWh;"1;453125";0,0kWh;0,0kWh;0,0kWh;"1;4375";0,0kWh;"12;9609375";"5;875";0,0kWh;
2025-01-30 23:00:00 CEST;"2;15625";"32;875";"13;9375";"0;546875";0,0kWh;0,0kWh;0,0kWh;"0;53125";0,0kWh;"4;82421875";"2;216796875";0,0kWh;
2025-01-31 00:00:00 CEST;"4;609375";"87;75";"36;75";"1;5078125";0,0kWh;"0;0009765625";0,0kWh;"1;4375";0,0kWh;"12;466796875";"5;921875";0,0kWh;
2025-01-31 01:00:00 CEST;"5;015625";"80;875";"33;375";"1;5";0,0kWh;0,0kWh;0,0kWh;"1;4375";0,0kWh;"12;892578125";"5;73828125";0,0kWh;
2025-01-31 02:00:00 CEST;"4;625";"91;625";36,0kWh;"1;5078125";0,0kWh;0,0kWh;0,0kWh;"1;46875";0,0kWh;"12;4609375";"6;17578125";0,0kWh;
2025-01-31 03:00:00 CEST;"5;25";"90;375";"41;1875";"1;5";0,0kWh;"0;0009765625";0,0kWh;"1;4375";0,0kWh;"12;55859375";"6;12890625";0,0kWh;
2025-01-31 04:00:00 CEST;"4;6875";"91;25";"40;0625";"1;5";0,0kWh;0,0kWh;0,0kWh;"1;4375";0,0kWh;"12;896484375";"5;724609375";0,0kWh;
2025-01-31 05:00:00 CEST;"4;703125";"86;25";"30;3125";"1;5";0,0kWh;0,0kWh;0,0kWh;"1;5";0,0kWh;"12;744140625";"9;400390625";0,0kWh;
2025-01-31 06:00:00 CEST;"35;234375";57,0kWh;0,0kWh;"0;3671875";0,0kWh;0,0kWh;"9;0390625";"1;5625";0,0kWh;"7;2265625";"7;423828125";0,0kWh;
2025-01-31 07:00:00 CEST;"96;359375";"90;625";"44;625";"1;6171875";0,0kWh;0,0kWh;"53;75";"37;53125";0,0kWh;"12;05859375";"10;828125";0,0kWh;
2025-01-31 08:00:00 CEST;"52;59375";"90;375";"30;625";"0;96875";0,0kWh;0,0kWh;"46;2265625";"38;4375";0,0kWh;"11;89453125";"10;76171875";"0;0625";
2025-01-31 09:00:00 CEST;"83;015625";"90;875";"41;9375";"26;7734375";0,0kWh;0,0kWh;"50;0625";"14;8125";0,0kWh;"12;34765625";"9;884765625";"0;125";
2025-01-31 10:00:00 CEST;"91;765625";"91;625";"37;4375";"4;9921875";0,0kWh;"7;763671875";"53;0078125";"34;6875";0,0kWh;"12;0234375";"10;330078125";"0;15625";
2025-01-31 11:00:00 CEST;"87;15625";"76;75";"33;0625";"9;796875";0,0kWh;"8;2431640625";"52;1171875";"38;65625";0,0kWh;"12;080078125";"10;30859375";"0;15625";
2025-01-31 12:00:00 CEST;"88;296875";"91;875";"31;6875";"1;265625";0,0kWh;"8;1640625";"52;3359375";"38;90625";0,0kWh;"11;453125";"11;474609375";"0;0625";
2025-01-31 13:00:00 CEST;"87;9375";90,0kWh;"31;375";"0;515625";0,0kWh;"8;212890625";"50;1875";39,0kWh;0,0kWh;"11;765625";"10;623046875";0,0kWh;
